LotArea,SalePrice,Rooms,HasGarage,NoiseFeature,Neighborhood,Condition,Description,SaleDate,ImagePath
11036,198758.13765933938,1,0,0.6667853446724203,A,Excellent,big kitchen modern central big kitchen sunny renovated spacious central,2016-06-13,house_images/img_280.png
2062,117515.03397489082,1,0,-0.19391854192387575,D,Good,quiet renovated beautiful view bright spacious,2006-07-23,house_images/img_281.png
2354,124952.83925386767,1,0,2.122026046300686,B,Poor,near school central garage renovated bright central cozy central luxury near school spacious beautiful view,2011-05-08,house_images/img_282.png
493,218203.198180061,8,0,0.039842322188179596,C,Good,big kitchen spacious modern garden big kitchen central renovated spacious renovated quiet spacious,2015-01-14,house_images/img_283.png
4317,302289.82927226205,8,1,-2.8841544357623343,C,Excellent,cozy renovated cozy luxury garage central beautiful view,2014-02-02,house_images/img_284.png
183,164495.05506951158,2,1,0.08420100833937201,B,Excellent,beautiful view sunny luxury renovated cozy garage near school quiet spacious,2013-05-27,house_images/img_285.png
3133,189931.07198564665,7,0,1.261463984866183,D,Fair,bright near school beautiful view luxury cozy garage luxury sunny luxury garden,2004-11-27,house_images/img_286.png
3911,381210.6819665936,8,1,-0.923306101850534,D,Excellent,near school quiet garage modern central beautiful view,2008-05-22,house_images/img_287.png
1688,183574.634213312,8,1,-0.9867551891712364,C,Excellent,near school modern cozy luxury cozy garden sunny central cozy bright renovated modern,2018-08-06,house_images/img_288.png
4468,597698.3995276153,7,1,-0.8403897063395901,D,Excellent,beautiful view central renovated modern central bright renovated luxury cozy renovated,2003-09-25,house_images/img_289.png
154,215939.7738061299,5,0,-1.0764768099771291,C,Good,garage spacious quiet modern quiet,2006-06-06,house_images/img_290.png
190,67482.16504700361,1,1,-0.47940171370599405,C,Fair,bright renovated garden beautiful view big kitchen garden garage beautiful view near school garage quiet garage,2009-09-21,house_images/img_291.png
8646,237202.8142634185,9,0,0.9092972263492204,B,Good,near school big kitchen garage beautiful view sunny modern cozy central cozy,2009-12-07,house_images/img_292.png
2232,196925.19059786512,7,0,1.5263327284126937,C,Fair,central near school luxury garden near school renovated bright renovated big kitchen sunny beautiful view central,2009-02-18,house_images/img_293.png
679,310170.1748715764,2,1,-2.4242503239372004,D,Good,garage big kitchen sunny garden garden modern bright cozy,2004-04-14,house_images/img_294.png
3693,227883.69670860653,6,1,-0.37845465357745733,D,Excellent,near school cozy central luxury quiet bright near school beautiful view beautiful view,2010-01-15,house_images/img_295.png
7348,151868.76033334975,2,1,0.30269799437673267,A,Good,central quiet quiet cozy renovated sunny renovated cozy,2006-01-22,house_images/img_296.png
1215,88243.10856711474,1,0,0.20267836338519074,D,Good,big kitchen modern sunny modern bright,2017-09-07,house_images/img_297.png
4876,146603.709455339,7,0,1.8999396666228892,A,Fair,beautiful view luxury garage renovated modern garage near school garden,2011-03-20,house_images/img_298.png
446,106376.47936950474,2,0,-2.0106939095820673,C,Fair,luxury spacious quiet bright garden bright big kitchen,2002-10-16,house_images/img_299.png
265,121751.61126876555,2,1,-2.5890639346884994,D,Good,renovated garden luxury luxury modern garage luxury central,2003-07-08,house_images/img_300.png
3789,218444.9249915733,5,1,2.062212524038256,B,Fair,quiet beautiful view quiet bright bright,2000-03-03,house_images/img_301.png
3889,375101.6189747513,5,1,0.7534336932473364,B,Fair,renovated garage near school big kitchen renovated big kitchen sunny sunny spacious luxury modern bright,2006-12-05,house_images/img_302.png
50720,198260.23500259503,7,0,-0.5713715869529101,B,Fair,luxury luxury beautiful view spacious garage luxury near school big kitchen quiet,2009-04-15,house_images/img_303.png
6474,89505.77872894068,1,1,0.1715987730679549,C,Poor,near school modern central central luxury bright sunny,2016-05-01,house_images/img_304.png
18617,203272.21780103297,8,1,0.24321762256106638,C,Fair,central beautiful view bright sunny garage central garden quiet,2008-12-16,house_images/img_305.png
3631,296059.5049452664,3,1,-0.5955207903359794,A,Poor,sunny garden garden cozy bright big kitchen beautiful view garage sunny quiet big kitchen,2006-03-19,house_images/img_306.png
1950,119983.38427958371,4,1,0.141778370691434,B,Poor,cozy spacious modern beautiful view near school central big kitchen big kitchen spacious spacious,2011-08-18,house_images/img_307.png
7928,152206.1934870437,9,1,0.3548133746601196,A,Fair,bright modern beautiful view quiet near school garden garden sunny renovated cozy cozy sunny,2001-10-05,house_images/img_308.png
1579,163954.47837046447,4,1,2.015530261362825,A,Good,garden beautiful view near school spacious sunny spacious,2012-12-04,house_images/img_309.png
2889,109924.69764179563,5,1,0.9634512222855411,D,Fair,garage renovated beautiful view cozy luxury central garage modern,2000-08-04,house_images/img_310.png
408,225064.0296493884,7,1,1.739323140242075,D,Excellent,beautiful view sunny cozy garden luxury,2000-07-14,house_images/img_311.png
128,153204.04291057098,4,0,-1.3435714836728943,B,Good,near school modern garden central quiet garage beautiful view sunny bright spacious quiet,2010-07-31,house_images/img_312.png
16436,200740.0812165543,1,0,-0.34719725961785775,C,Poor,spacious near school sunny garden garden sunny central near school garden near school beautiful view,2008-12-17,house_images/img_313.png
9038,104428.08285253371,9,1,0.24224698393162536,D,Poor,renovated garden cozy central sunny,2013-12-28,house_images/img_314.png
5953,130779.87559205678,4,0,-1.921100753132963,C,Good,modern garage modern big kitchen near school near school big kitchen cozy modern big kitchen,2007-05-18,house_images/img_315.png
2629,233559.15837188953,9,1,1.1818593381092803,A,Good,bright garage spacious beautiful view central central,2008-10-17,house_images/img_316.png
951,135074.7251553224,6,1,0.6422097723112623,A,Fair,central garage near school quiet near school modern big kitchen,2007-07-18,house_images/img_317.png
850,385957.2633535228,1,0,-0.367158519953864,A,Poor,garage luxury spacious sunny garage,2004-03-01,house_images/img_318.png
1440,133276.59471178465,3,0,-0.183334343500785,A,Excellent,cozy luxury big kitchen garden spacious,2015-07-15,house_images/img_319.png
3983,182105.6628809296,2,0,1.2538668888237479,B,Fair,cozy big kitchen modern big kitchen garden renovated bright big kitchen central renovated,2002-12-16,house_images/img_320.png
6269,259443.80729835056,9,1,-0.7954379476369655,A,Good,garage cozy sunny luxury cozy cozy quiet modern renovated cozy bright,2015-05-25,house_images/img_321.png
5396,80082.86047220114,1,1,1.2941853496622873,D,Poor,big kitchen bright spacious beautiful view central,2001-12-22,house_images/img_322.png
1642,67480.61119272612,9,0,-0.25203873658628795,A,Good,near school renovated quiet renovated spacious garden bright,2015-08-13,house_images/img_323.png
15490,75899.99084124097,9,1,0.7559960527769166,C,Good,renovated modern modern central spacious near school renovated sunny modern modern central,2016-01-12,house_images/img_324.png
6695,305985.21161575505,8,1,0.08676420557898726,D,Good,sunny big kitchen modern sunny garden big kitchen big kitchen garden modern quiet modern,2004-04-11,house_images/img_325.png
4041,123509.20010510848,8,0,2.2331938466511856,C,Fair,central big kitchen spacious big kitchen sunny luxury renovated renovated luxury modern garage,2001-10-01,house_images/img_326.png
4730,584843.543148514,1,0,-0.8873923901075258,C,Excellent,quiet spacious garden bright central luxury garden cozy central,2017-02-09,house_images/img_327.png
2720,122746.45932910018,8,0,-0.5732826225769339,B,Excellent,quiet modern beautiful view spacious cozy cozy garage renovated cozy,2011-08-31,house_images/img_328.png
1423,178487.82160977068,3,1,-1.506125477688831,B,Poor,near school quiet luxury spacious sunny luxury spacious,2011-10-20,house_images/img_329.png
2200,351883.33897607087,7,0,-1.096757167029321,C,Good,garage quiet quiet cozy modern garden garden luxury,2014-03-18,house_images/img_330.png
7090,443763.23473394336,1,1,0.7131281076945163,C,Excellent,central cozy quiet luxury renovated garden garage,2010-05-15,house_images/img_331.png
72,456229.7449750781,1,1,1.600163638865061,A,Good,big kitchen big kitchen central modern near school modern modern beautiful view bright cozy cozy,2010-03-25,house_images/img_332.png
616,297801.7022488808,5,0,0.8264808703602766,D,Poor,modern near school bright sunny bright beautiful view cozy near school bright modern,2000-03-30,house_images/img_333.png
235,271585.22216777445,5,1,-0.005391499726866356,A,Good,modern central garage sunny sunny luxury garage cozy spacious quiet garden,2016-02-17,house_images/img_334.png
207,218876.6207780984,8,1,-0.8936145016560537,B,Excellent,luxury cozy renovated sunny spacious cozy beautiful view modern modern beautiful view luxury quiet,2007-12-31,house_images/img_335.png
9671,240188.79480052931,7,0,0.8984186716271502,B,Good,spacious bright luxury garden beautiful view central,2003-06-05,house_images/img_336.png
6081,123550.73270543729,8,1,-0.9486019051858376,A,Excellent,modern near school modern central luxury renovated sunny,2003-01-07,house_images/img_337.png
3213,108109.57318278187,6,1,-1.3489517343057593,D,Poor,big kitchen renovated modern garage garden garage,2012-11-16,house_images/img_338.png
514,162480.41839307972,6,1,-0.3084693332099046,C,Good,garage beautiful view garden renovated luxury central central big kitchen near school bright,2000-12-14,house_images/img_339.png
3382,149478.4760798136,2,1,-2.033940616888496,A,Excellent,cozy cozy cozy spacious bright garage garage near school garden,2010-09-18,house_images/img_340.png
3207,129752.74739557946,6,1,-1.3813848745522488,B,Poor,big kitchen spacious luxury renovated garage renovated renovated bright,2011-02-04,house_images/img_341.png
950,230543.2417779132,5,0,1.8859903358828205,D,Good,big kitchen cozy near school central sunny bright,2008-01-20,house_images/img_342.png
2844,262407.15528194315,3,0,-1.5668084244584022,B,Poor,garage garden garage central renovated central garage spacious sunny sunny near school,2000-09-02,house_images/img_343.png
2541,170110.489499424,6,1,-1.1881483810458113,D,Excellent,cozy modern luxury renovated beautiful view,2000-09-28,house_images/img_344.png
4783,340702.5337539517,8,0,0.07183290770666434,D,Good,spacious big kitchen beautiful view cozy garage modern near school cozy modern spacious sunny bright,2005-07-23,house_images/img_345.png
5040,91964.2729338698,9,1,0.12390388003001514,D,Good,renovated luxury modern renovated luxury luxury sunny modern cozy quiet,2012-04-25,house_images/img_346.png
231,147734.2411002886,1,1,-0.23462429737885407,A,Good,quiet modern spacious garden big kitchen modern renovated,2008-09-22,house_images/img_347.png
2346,113730.72133709933,3,0,-2.003373748891115,A,Poor,cozy big kitchen spacious beautiful view quiet big kitchen,2009-08-07,house_images/img_348.png
4915,64005.9733425254,3,1,0.8484893276377898,A,Poor,garage beautiful view garage central renovated sunny sunny central,2004-01-05,house_images/img_349.png
3497,156163.63161044623,8,0,-0.4430533997579966,D,Excellent,near school near school renovated garage quiet central renovated,2003-04-10,house_images/img_350.png
9706,153142.82257098163,1,1,1.2204495221749012,D,Fair,beautiful view quiet quiet garden quiet bright modern bright luxury garden central bright,2008-06-14,house_images/img_351.png
5374,346876.7718899738,5,0,-0.6448176215288473,B,Good,near school near school cozy spacious modern garden spacious garden,2008-03-27,house_images/img_352.png
889,223106.79614375543,3,1,0.9824943391405768,C,Good,central quiet luxury modern garden garden luxury spacious central modern modern luxury,2010-06-20,house_images/img_353.png
365,97529.15011453937,2,1,1.296083449079435,A,Excellent,renovated quiet sunny quiet renovated,2014-03-03,house_images/img_354.png
5141,411286.89164544,8,1,-0.46694227575382025,D,Good,garage big kitchen quiet sunny central big kitchen luxury near school garage garden,2004-06-02,house_images/img_355.png
134,299693.88452143426,3,0,0.880450194105647,B,Poor,renovated quiet modern spacious big kitchen,2003-01-31,house_images/img_356.png
4406,217738.23245898826,7,1,-1.3285446781163972,B,Poor,sunny renovated spacious luxury luxury sunny big kitchen,2011-12-28,house_images/img_357.png
14086,145329.36824530418,1,0,0.2636894870694937,B,Good,near school luxury garden near school near school spacious sunny big kitchen bright bright big kitchen central,2001-05-31,house_images/img_358.png
4283,100738.20305001919,6,1,1.2222277083548394,A,Good,modern garden quiet beautiful view big kitchen beautiful view spacious cozy,2007-04-19,house_images/img_359.png
2456,135117.03556495407,3,1,0.5184928459641237,A,Poor,big kitchen sunny garage garden modern,2003-07-25,house_images/img_360.png
5154,280512.7085948562,8,1,2.4062239228532394,C,Good,renovated bright central spacious quiet garage,2001-09-03,house_images/img_361.png
3064,417605.77854520973,6,0,0.5743579922911557,B,Poor,big kitchen spacious luxury sunny garden luxury modern sunny central garden,2002-01-19,house_images/img_362.png
3944,352082.8387096506,2,0,-0.365271252607501,A,Fair,big kitchen garage big kitchen luxury near school spacious luxury luxury,2014-10-02,house_images/img_363.png
14190,127462.22040294908,6,1,2.840886393001498,B,Fair,luxury modern renovated luxury cozy garden modern beautiful view cozy,2005-01-30,house_images/img_364.png
2439,92984.7967862807,7,0,1.6337010173475504,D,Good,spacious sunny big kitchen renovated central garage quiet modern beautiful view garage bright,2001-02-03,house_images/img_365.png
16245,174633.2122648704,5,1,-1.6029075617983968,B,Good,spacious central modern near school garden spacious bright,2004-03-06,house_images/img_366.png
11787,67223.64449424561,3,0,-0.7841636049283146,C,Good,near school quiet renovated quiet quiet near school beautiful view garden big kitchen cozy luxury,2005-07-17,house_images/img_367.png
1089,191297.2647478868,4,0,-1.0381581070413235,A,Poor,near school big kitchen beautiful view beautiful view near school,2017-01-20,house_images/img_368.png
359,151175.80451153696,4,1,0.6456296045090557,D,Fair,central cozy big kitchen quiet central beautiful view modern garden renovated luxury central,2000-11-15,house_images/img_369.png
531,128924.43661789673,6,1,0.5711580368167886,A,Fair,garage luxury big kitchen bright modern bright garden big kitchen garden cozy,2014-02-07,house_images/img_370.png
91,73324.38205770253,1,0,0.5634519323954991,D,Excellent,quiet sunny garage modern luxury sunny sunny central,2000-12-01,house_images/img_371.png
496,210407.21546332128,4,0,-1.6299094594989507,B,Excellent,spacious spacious modern near school bright sunny,2005-09-29,house_images/img_372.png
5744,124697.9360451452,4,1,-0.6380915466050493,B,Good,big kitchen quiet near school beautiful view sunny central near school beautiful view sunny modern,2000-06-22,house_images/img_373.png
369,90675.41873755035,1,1,-0.14928525472364426,C,Poor,garden central bright beautiful view modern central beautiful view luxury big kitchen cozy,2011-01-02,house_images/img_374.png
1920,38710.605808013745,9,1,-1.821920549320722,C,Good,renovated bright garden garden big kitchen,2004-06-29,house_images/img_375.png
9317,160531.03181008706,4,1,-0.8718277665578907,D,Fair,beautiful view beautiful view garden garage renovated central,2001-05-15,house_images/img_376.png
117,394796.53043128323,7,0,1.3564337101657322,C,Good,garage cozy spacious central near school luxury beautiful view renovated central,2009-12-25,house_images/img_377.png
8422,373483.68726526096,3,0,-1.5540759979695884,C,Good,spacious luxury cozy bright bright near school,2017-01-10,house_images/img_378.png
1655,129502.03466625878,3,1,1.4552604937184808,C,Fair,spacious bright near school garden cozy quiet sunny central near school sunny,2006-06-21,house_images/img_379.png
628,120438.43275138829,8,1,1.0911490925355023,C,Fair,sunny quiet big kitchen big kitchen beautiful view modern bright garden modern near school spacious,2005-01-30,house_images/img_380.png
5965,205743.82954678155,8,1,-0.290737219804481,B,Fair,garden spacious sunny beautiful view modern garden modern garden garage sunny,2008-08-18,house_images/img_381.png
4956,98795.49449371953,1,1,-0.6488729993676847,C,Fair,bright garden bright renovated garage big kitchen central near school garden beautiful view central luxury,2005-03-11,house_images/img_382.png
10497,189263.58458948534,2,1,0.8318276221453004,B,Excellent,bright cozy renovated garden central,2015-10-08,house_images/img_383.png
6641,238718.45863644188,8,1,-0.7877401608956308,B,Poor,sunny spacious cozy renovated beautiful view garden beautiful view near school big kitchen,2004-09-14,house_images/img_384.png
8134,300579.2159242868,1,1,-0.7379979499461239,A,Poor,near school renovated near school bright garage sunny,2004-11-13,house_images/img_385.png
1656,154805.22019514203,8,1,-0.023868404004728505,B,Fair,sunny sunny cozy spacious beautiful view quiet central renovated,2013-02-13,house_images/img_386.png
976,146996.36314013443,8,1,-2.130233595786918,B,Poor,quiet cozy beautiful view modern big kitchen bright beautiful view,2008-05-15,house_images/img_387.png
6943,104925.7993657558,2,1,-1.4499755984017062,C,Poor,modern cozy garage garage quiet sunny luxury,2013-03-20,house_images/img_388.png
8221,107641.31516854085,4,1,-0.315661249001483,B,Poor,garden sunny beautiful view cozy spacious cozy big kitchen central modern,2014-03-18,house_images/img_389.png
23285,145329.74660705056,6,1,0.4756960322125993,D,Poor,cozy luxury bright spacious modern spacious,2019-02-27,house_images/img_390.png
2660,195571.7802468827,9,1,-0.8015739380786786,C,Fair,spacious garage near school central sunny garden central cozy central big kitchen central,2007-06-06,house_images/img_391.png
2326,256989.9641504468,8,1,-0.19761047802168252,C,Good,big kitchen central beautiful view luxury central modern modern beautiful view garage sunny renovated cozy,2010-06-25,house_images/img_392.png
7489,108924.52875597999,8,1,-1.6134594081376321,C,Good,modern modern central garden garden sunny central cozy big kitchen sunny near school luxury,2012-12-30,house_images/img_393.png
2083,343294.6119604472,7,0,0.9324838522703204,A,Good,sunny renovated cozy near school garden big kitchen,2002-12-30,house_images/img_394.png
13350,142121.5845535675,9,0,0.22008232956098164,C,Excellent,big kitchen luxury central cozy central near school cozy big kitchen garden sunny,2000-02-15,house_images/img_395.png
9774,161025.23210332365,2,0,0.30854590263921694,B,Poor,renovated beautiful view central bright renovated spacious cozy renovated,2014-02-22,house_images/img_396.png
2801,112015.68223448227,3,1,0.48825061798489505,D,Fair,bright luxury bright sunny bright renovated quiet bright quiet cozy quiet luxury,2003-12-16,house_images/img_397.png
6948,48430.24866283906,8,0,0.07812750349478562,C,Fair,garden spacious bright spacious quiet spacious quiet big kitchen big kitchen renovated modern,2006-01-05,house_images/img_398.png
7023,253222.21393905068,6,0,-0.48377275857399915,C,Excellent,near school cozy renovated quiet quiet modern modern,2008-10-06,house_images/img_399.png
544,235254.20891859455,9,1,1.1296545487203085,D,Fair,near school beautiful view central spacious spacious,2001-03-31,house_images/img_400.png
11642,141398.32993393712,4,1,0.156881147760773,C,Good,beautiful view garden big kitchen near school luxury sunny garage garage,2004-07-20,house_images/img_401.png
3518,168298.6499757792,8,0,-0.16571942867342454,A,Excellent,renovated central quiet cozy luxury luxury big kitchen bright near school renovated luxury,2008-01-03,house_images/img_402.png
8756,210653.44235349173,3,1,-0.00865465392050398,B,Fair,beautiful view central big kitchen near school modern renovated beautiful view,2002-08-23,house_images/img_403.png
1928,74512.86481622011,3,1,-0.02996506648874011,D,Excellent,garden central bright sunny big kitchen modern,2016-09-29,house_images/img_404.png
11293,124925.6027788764,8,0,-0.1757656039253121,D,Excellent,sunny quiet near school sunny cozy sunny garden near school sunny quiet renovated,2013-08-04,house_images/img_405.png
2464,242106.34234887562,5,0,0.44610636250790753,A,Fair,central cozy modern cozy luxury garage,2004-03-08,house_images/img_406.png
54,86929.72289735472,3,1,-0.9358602221223686,B,Good,garden modern bright beautiful view sunny garage quiet cozy modern beautiful view,2008-02-24,house_images/img_407.png
11789,188485.99124074198,1,1,-0.8627910357403081,A,Fair,garden spacious garden bright quiet cozy renovated cozy quiet quiet,2008-05-29,house_images/img_408.png
478,82595.3859424802,3,1,0.5592636894286356,B,Poor,quiet luxury cozy near school renovated beautiful view sunny,2013-12-14,house_images/img_409.png
1923,205502.8109095326,9,0,-0.14523934072779623,A,Poor,garden luxury garage garage luxury garden quiet garage garage bright luxury,2013-05-01,house_images/img_410.png
14984,159880.07131065265,5,1,0.9713931021430959,C,Fair,garden central modern modern bright quiet renovated,2017-06-27,house_images/img_411.png
15039,72579.23147478458,2,1,0.40887900063186366,A,Good,beautiful view bright bright luxury renovated,2006-11-26,house_images/img_412.png
4259,291375.96179856494,7,0,-0.5526279100762321,D,Poor,luxury renovated garden renovated modern garage beautiful view sunny,2017-11-12,house_images/img_413.png
4996,112724.7416697313,2,1,0.5750963631286746,D,Poor,spacious near school beautiful view bright luxury cozy,2003-01-31,house_images/img_414.png
2975,108539.97111484128,4,0,1.197190957958936,D,Fair,spacious bright renovated central central modern luxury sunny central cozy spacious sunny,2018-02-27,house_images/img_415.png
1735,179923.06082188615,7,1,0.44697955612125384,A,Fair,spacious cozy near school luxury beautiful view near school near school sunny near school big kitchen beautiful view beautiful view,2014-02-12,house_images/img_416.png
1992,289039.5112027984,4,1,0.6655849430667965,D,Fair,near school big kitchen bright renovated modern garden luxury,2015-10-22,house_images/img_417.png
5581,97937.92029110627,7,0,-0.1717708506034031,D,Excellent,bright quiet big kitchen renovated near school renovated bright beautiful view luxury bright quiet,2015-06-10,house_images/img_418.png
6979,167852.33691054577,7,1,0.9930398828805027,C,Excellent,beautiful view bright big kitchen near school garage central modern garden quiet big kitchen bright,2009-04-27,house_images/img_419.png
7840,201674.08850368526,1,1,-0.5806904149296438,C,Excellent,garden bright luxury central near school garden spacious spacious spacious,2012-04-19,house_images/img_420.png
7794,230165.24895212994,6,1,0.33854302574051653,B,Fair,luxury renovated big kitchen cozy cozy beautiful view garden sunny,2006-06-01,house_images/img_421.png
478,177765.5413571034,9,0,2.569506152435933,B,Good,bright beautiful view spacious cozy renovated near school sunny big kitchen bright renovated renovated,2000-04-16,house_images/img_422.png
3410,135467.37026610976,2,0,0.5388810560256598,B,Poor,central near school renovated garage renovated bright renovated,2013-10-28,house_images/img_423.png
296,107603.11646025289,3,0,-0.42071123059186843,A,Excellent,beautiful view spacious big kitchen bright spacious modern near school quiet central garden near school,2007-01-21,house_images/img_424.png
3987,169918.1180593338,5,1,-0.4232922416913996,B,Good,spacious luxury garage near school sunny beautiful view garage luxury bright big kitchen quiet modern,2016-04-10,house_images/img_425.png
2912,95218.5918264648,9,1,-0.07134169729034448,A,Fair,big kitchen modern sunny cozy spacious cozy cozy,2008-08-20,house_images/img_426.png
10933,37772.05257374029,4,1,0.8512457817294108,A,Excellent,beautiful view garden sunny big kitchen beautiful view big kitchen modern quiet central,2013-10-08,house_images/img_427.png
2160,202456.41384281742,1,0,0.1457775091673821,B,Fair,spacious beautiful view spacious renovated cozy modern cozy,2012-01-01,house_images/img_428.png
622,255753.00168611403,4,1,-0.6485278132383967,B,Good,central big kitchen big kitchen big kitchen bright big kitchen renovated,2011-02-05,house_images/img_429.png
771,49937.813594524596,6,0,-0.65029699278869,A,Excellent,spacious modern big kitchen big kitchen sunny luxury renovated sunny,2013-02-22,house_images/img_430.png
7167,98236.65049200373,5,1,0.1520493310229803,C,Excellent,big kitchen bright big kitchen garage bright beautiful view cozy bright,2016-10-22,house_images/img_431.png
4814,221810.1534832045,1,0,0.04239498673879082,D,Excellent,luxury modern quiet big kitchen sunny garden modern spacious central garage quiet near school,2015-04-12,house_images/img_432.png
533,455316.35172518657,4,0,0.45497616911902095,D,Excellent,quiet renovated central near school bright garage near school bright modern,2000-08-02,house_images/img_433.png
439,164455.75621590106,6,0,0.9174898957848946,D,Good,sunny renovated garden cozy sunny garage bright bright cozy,2014-10-14,house_images/img_434.png
6036,113096.70513750041,4,1,2.727359702409499,C,Excellent,garden central renovated cozy near school garden,2018-10-28,house_images/img_435.png
377,148531.4173429993,9,1,-1.4620335167676004,A,Poor,cozy spacious spacious modern cozy spacious beautiful view cozy garage,2016-08-17,house_images/img_436.png
8625,323656.5525549109,5,1,0.6868621272864411,B,Poor,renovated luxury garage garage near school central,2015-04-10,house_images/img_437.png
6124,117832.32407006617,8,1,0.0983077083882902,A,Fair,garage big kitchen sunny quiet central,2016-03-17,house_images/img_438.png
424,109141.8833289569,9,1,-1.8445762311105884,A,Excellent,central modern big kitchen luxury spacious renovated garden garden modern,2012-02-26,house_images/img_439.png
443,127851.95077442941,5,1,1.2495307236517275,B,Poor,renovated quiet quiet garage luxury renovated,2011-09-29,house_images/img_440.png
21577,101046.46058756631,6,1,0.4211732265819475,C,Poor,sunny quiet sunny big kitchen sunny cozy spacious quiet beautiful view renovated,2011-08-24,house_images/img_441.png
2344,173049.88041105404,1,0,0.7998062928201565,D,Poor,bright garden central cozy spacious luxury quiet bright cozy quiet beautiful view quiet,2001-04-09,house_images/img_442.png
2315,366714.62251834135,7,0,-1.6994189450976827,D,Good,central quiet sunny beautiful view garage renovated garden garage cozy central bright renovated,2017-02-07,house_images/img_443.png
8377,191288.80566764897,4,1,-0.22041692749820854,A,Excellent,renovated spacious garden big kitchen quiet modern bright garage,2016-11-29,house_images/img_444.png
14710,143461.68125437913,2,0,-1.079196944894296,C,Good,luxury garden luxury modern modern beautiful view cozy,2018-07-27,house_images/img_445.png
21343,140659.0794789916,5,1,2.163100942680612,D,Good,bright luxury luxury beautiful view luxury renovated quiet sunny near school,2016-01-02,house_images/img_446.png
6999,74488.84008660656,3,1,1.1445503457443813,C,Poor,bright spacious cozy central modern cozy luxury sunny big kitchen,2006-06-30,house_images/img_447.png
2360,253103.78185867032,6,1,-0.680967783285462,B,Poor,renovated cozy near school bright near school cozy near school big kitchen beautiful view sunny beautiful view renovated,2018-09-17,house_images/img_448.png
435,156542.27832083637,8,0,-1.5366389009496022,A,Fair,renovated garden modern near school cozy garage garage spacious garage,2001-08-14,house_images/img_449.png
7506,148710.9909356518,7,1,0.19405506638375492,A,Excellent,near school near school garage garden big kitchen modern central quiet garden central luxury,2005-12-28,house_images/img_450.png
4086,803356.4432551095,3,1,1.0924220022943598,C,Excellent,central cozy quiet near school modern central garage near school garage beautiful view sunny modern,2018-02-12,house_images/img_451.png
2760,188976.217763069,8,0,-1.7350536054359293,D,Poor,renovated luxury near school spacious renovated garage garden renovated central,2014-02-06,house_images/img_452.png
118410,111759.4949601111,2,1,-0.9317746709931696,C,Poor,garden near school quiet bright sunny big kitchen central spacious big kitchen near school garden,2002-06-02,house_images/img_453.png
589,131507.76810502494,9,0,-1.1055847090139588,B,Excellent,central modern quiet modern luxury luxury spacious cozy quiet,2011-05-21,house_images/img_454.png
3392,289011.81673017703,4,0,0.8669461659105872,D,Fair,quiet luxury spacious modern garage quiet,2014-04-03,house_images/img_455.png
57,172238.46246010775,1,0,-0.36982908854451246,D,Poor,sunny modern quiet quiet garden garden modern modern beautiful view cozy cozy near school,2000-10-30,house_images/img_456.png
3161,79289.50163020787,8,1,-0.32793652237750537,C,Fair,cozy central modern near school renovated luxury quiet cozy near school,2014-03-08,house_images/img_457.png
289,257716.2538183336,7,1,0.17465468063896764,B,Good,central cozy spacious sunny central big kitchen sunny,2012-04-18,house_images/img_458.png
632,116532.78832395088,5,1,-0.8782808123290141,D,Poor,luxury near school sunny central beautiful view renovated renovated beautiful view bright near school cozy near school,2000-11-29,house_images/img_459.png
625,415255.3404122896,5,1,-1.4436867367275648,A,Good,big kitchen modern garden quiet big kitchen bright sunny bright,2007-10-04,house_images/img_460.png
5237,279295.051105934,7,1,1.369685162360285,B,Poor,beautiful view near school big kitchen sunny big kitchen spacious sunny luxury big kitchen beautiful view,2012-05-03,house_images/img_461.png
6852,130136.48355040055,5,1,1.462485708479594,D,Good,modern renovated bright spacious quiet sunny big kitchen,2006-05-20,house_images/img_462.png
4377,308818.2455963093,8,0,0.17958245946317858,C,Poor,near school big kitchen quiet bright quiet modern beautiful view renovated cozy near school modern big kitchen,2012-06-27,house_images/img_463.png
16373,168371.43748384473,6,0,0.2521555056676198,D,Fair,sunny spacious sunny quiet near school,2000-03-20,house_images/img_464.png
2348,249293.65989535133,5,1,1.261013976580008,A,Fair,cozy near school quiet garage luxury garage big kitchen big kitchen big kitchen sunny,2010-04-21,house_images/img_465.png
1682,207392.08449562333,9,1,0.15665355660374003,B,Fair,quiet central sunny near school big kitchen big kitchen central cozy renovated big kitchen bright,2007-10-02,house_images/img_466.png
10147,106598.17521450525,2,1,-0.41907790594364563,D,Good,garden central near school near school near school luxury,2014-03-24,house_images/img_467.png
1265,117974.65400893455,1,1,0.03933912677746302,A,Fair,renovated luxury spacious cozy central bright,2005-05-31,house_images/img_468.png
16514,272387.3488210038,8,0,1.3931686371674725,D,Good,bright garage modern garden quiet,2002-01-02,house_images/img_469.png
61,137669.6610416978,3,0,0.05332166842880583,D,Poor,bright quiet central modern big kitchen spacious spacious near school garden central luxury,2010-11-20,house_images/img_470.png
17512,133009.49137494358,7,0,-0.6693825346535526,B,Good,central beautiful view spacious quiet bright cozy,2004-12-22,house_images/img_471.png
220,100955.86401099763,8,0,0.14700204928509752,C,Poor,bright beautiful view sunny quiet renovated spacious garden quiet beautiful view spacious,2015-06-30,house_images/img_472.png
11088,201148.66344693126,6,1,0.6562231375357641,C,Excellent,modern renovated cozy sunny big kitchen sunny renovated,2003-10-16,house_images/img_473.png
